0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:39:27 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 15596
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:46:03 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13855
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:47:06 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14192
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:47:13 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 15877
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:47:22 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:47:22 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13855
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:48:12 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:48:16 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:48:20 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:48:20 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13855
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:02:20 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14192
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:02:23 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:02:23 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13855
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:03:34 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14176
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:03:48 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17505
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:04:20 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:04:24 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14912
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:04:30 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17090
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:04:40 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15036
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:08:42 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15337
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:08:46 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [31/Jul/2022:22:08:49 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14912
